media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"207357","http://100percentfedup.com/","100percentfedup.com","","","en","United States","","","","9.93","2016-11-14"
"94537","http://www.1011now.com/#spider","1011now.com","USA","US-NE","en","United States","video_broadcast","","","0.4","2018-03-05"
"1223257","http://101espn.com/","101espn.com","","","","","","","","0.0","2016-01-11"
"89297","http://12160.info/#spider","12160.info","","","","","","","","0.0","2014-10-20"
"462689","http://12tomatoes.com/","12tomatoes.com","","","en","United States","","","","4.41","2018-11-12"
"889100","http://153news.net/","153news.net","","","","","","","","0.18","2018-10-15"
"823101","http://1600daily.com/","1600daily.com","","","","","","","","0.01","2018-02-12"
"1228721","http://1776.shop/","1776.shop","","","","","","","","0.0","2019-03-04"
"146659","http://1776channel.com/","1776channel.com","","","","","","","","0.0","2015-02-02"
"306547","http://1776coalition.com/","1776coalition.com","","","en","United States","","","","3.91","2016-11-28"
"70745","http://21stcenturywire.com/#spider","21stcenturywire.com","","","en","none","","","","2.32","2014-10-20"
"704169","http://22kill.com/","22kill.com","","","","","","","","0.0","2021-05-30"
"194259","https://2ndvote.com/","2ndvote.com","","","","","","","","0.0","2016-01-18"
"1067537","http://3ccorp.net/","3ccorp.net","","","","","","","","0.0","2018-12-17"
"83291","http://www.40daysforlife.com/blog/","40 Days for Life","","","en","none","","","","0.0","2013-09-30"
"348906","http://401kspecialistmag.com/","401kspecialistmag.com","","","","","","","","0.0","2017-02-27"
"1230664","http://4il.org.il/","4il.org.il","","","","","","","","0.0","2019-01-28"
"711409","http://50statereport.com/","50statereport.com","","","","","","","","0.0","2017-11-13"
"294239","http://710wor.iheart.com/","710wor.iheart.com","USA","US-NY","en","United States","video_broadcast","","","11.1","2020-09-14"
"675853","http://71republic.com/","71republic.com","","","","","","","","0.0","2017-09-11"
"259405","http://8ch.net/","8ch.net","","","en","none","","","","0.01","2017-12-04"
"80124","http://www.911memorial.org/#spider","911memorial.org","","","","","","","","0.0","2012-10-01"
"496709","http://911tap.org/","911tap.org","","","","","","","","0.0","2016-03-14"
"822393","http://971talk.radio.com/","971talk.radio.com","","","","","","","","0.0","2019-05-20"
"759959","http://aaf.com/","aaf.com","","","","","","","","0.0","2018-04-16"
"331598","http://aanirfan.blogspot.com/","aanirfan.blogspot.com","","","","","","","","0.0","2014-06-30"
"76248","http://www.aapsonline.org/#spider","aapsonline.org","","","","","","","","0.46","2012-04-02"
"311894","http://abc7amarillo.com/","abc7amarillo.com","USA","US-TX","en","United States","video_broadcast","","","0.11","2017-12-04"
"302673","http://abcstlouis.com/","abcstlouis.com","","","","","","","","0.01","2016-09-12"
"33680","http://www.aberdeennews.com#spider","aberdeennews.com","USA","US-SD","en","United States","print_native","","","0.28","2014-04-07"
"83283","http://www.abort73.com/","Abort73.com / Abortion Unfiltered","","","en","United States","","","","0.01","2014-06-30"
"285563","http://abortionprocedures.com/","abortionprocedures.com","","","","","","","","0.0","2016-03-14"
"206142","http://abortionworker.com/","abortionworker.com","","","","","","","","0.0","2014-12-01"
"310521","http://abouthungary.hu/","abouthungary.hu","","","","","","","","0.0","2017-11-06"
"24754","http://www.abovetopsecret.com","abovetopsecret.com","","","","","","","","0.0","2015-04-06"
"194356","http://abyssum.org/","abyssum.org","","","","","","","","0.01","2014-02-17"
"123419","http://acdemocracy.org/","acdemocracy.org","","","","","","","","0.0","2014-01-06"
"675","http://ace.mu.nu/","Ace of Spades HQ","","","en","United States","","","","0.97","2011-10-10"
"207338","http://acecomments.mu.nu/","acecomments.mu.nu","","","","","","","","0.0","2016-11-28"
"70529","http://aclj.org/#spider","aclj.org","","","en","United States","","","","0.01","2011-09-05"
"347522","http://acontecercristiano.net/","acontecercristiano.net","","","","","","","","0.0","2015-09-21"
"132915","http://acpeds.org/","acpeds.org","","","","","","","","0.0","2014-09-29"
"33490","http://www.acsh.org#spider","acsh.org","","","","","","","","0.08","2011-04-04"
"86436","http://www.actforamerica.org/#spider","actforamerica.org","","","","","","","","0.0","2016-12-05"
"1311320","http://action.combatantisemitism.org/","action.combatantisemitism.org","","","","","","","","0.0","2019-07-15"
"337521","http://action.getliberty.org/","action.getliberty.org","","","","","","","","0.0","2016-02-01"
