,# Articles,Avg Word Count,Shooting Name Sum,Shooting Sum,Shooter Name Sum,# Killed,# Injured,Gender of Killed,Avg Age of Killed,Majority racialized victims,Shooter Age
# Articles,1.0,0.11282391861679164,0.9528986120741636,0.282773006948289,0.9378552027866605,0.8994883684241287,0.8741544024353054,0.40836427114406937,0.010434001667265713,0.11533467025625421,0.3488338444688909
Avg Word Count,0.11282391861679175,1.0,0.047231854951642616,0.0751055150309865,0.055406299115738356,0.03750231779451341,0.03170194696596629,0.013867626119449139,0.11331314765952505,0.05784954630518646,0.005641830944637993
Shooting Name Sum,0.9528986120741636,0.04723185495164217,1.0,0.32476695718716353,0.958825291677678,0.9596825303063972,0.9507233931242058,0.43967173942859583,0.0011809091529475513,0.14375910307622541,0.3843094872898777
Shooting Sum,0.2827730069482889,0.07510551503098628,0.32476695718716353,1.0,0.2925095184326757,0.3179909143354359,0.3313686004805212,0.3091822872873077,0.024154450701646346,0.24707936506403205,0.09313921513838885
Shooter Name Sum,0.9378552027866605,0.055406299115738356,0.958825291677678,0.2925095184326758,1.0,0.9819381282603578,0.9637419313684049,0.2986605516757269,6.932922159508248e-05,0.10495864892001294,0.48254803501891175
# Killed,0.8994883684241287,0.037502317794513185,0.9596825303063972,0.31799091433543614,0.9819381282603576,1.0,0.9726564976977953,0.3228987346504345,7.560106942028355e-06,0.1402030925455804,0.5041922978956513
# Injured,0.8741544024353054,0.0317019469659664,0.9507233931242058,0.3313686004805214,0.9637419313684049,0.9726564976977953,1.0,0.3208287977918216,0.008181801761602103,0.06981845880659587,0.5531782906938993
Gender of Killed,0.40836427114406904,0.013867626119448917,0.4396717394285957,0.3091822872873079,0.2986605516757267,0.3228987346504345,0.3208287977918217,1.0,0.010638393632340648,0.13649416548927507,0.011839091576162142
Avg Age of Killed,0.010434001667265824,0.11331314765952527,0.0011809091529476623,0.02415445070164668,6.93292215951935e-05,7.560106941917333e-06,0.008181801761602214,0.01063839363234087,1.0,0.013240195117355191,0.001987598239723276
Majority racialized victims,0.1153346702562541,0.05784954630518646,0.1437591030762253,0.24707936506403216,0.10495864892001294,0.1402030925455805,0.0698184588065961,0.13649416548927518,0.013240195117355191,1.0,0.041769515581610794
Shooter Age,0.34883384446889076,0.005641830944637771,0.384309487289878,0.09313921513838908,0.48254803501891186,0.5041922978956515,0.5531782906938996,0.01183909157616203,0.001987598239723165,0.04176951558161068,1.0
