Leaning,Media name,Media url,Media Id
Center Left,media_name,media_url,media_id
Center Left,Washington Post,http://washingtonpost.com,2
Center Left,New York Times,http://nytimes.com,1
Center Left,Daily News,http://www.nydailynews.com/,8
Center Left,The Boston Globe,https://www.bostonglobe.com/,15
Center Left,asahi.com,http://www.asahi.com/,6248
Center Left,Time,http://time.com,4419
Center Left,SWJ Blog,http://smallwarsjournal.com/blog,6277
Center Left,CNN,http://www.cnn.com/,1095
Center Left,"Eastern Iowa Breaking News and Headlines | thegazette.com - Cedar Rapids, Iowa City",http://thegazette.com/,18171
Center Left,9 to 5 Mac | Apple Intelligence,http://9to5mac.com,7197
Center Left,New Scientist - Online News,http://www.newscientist.com/,5590
Center Left,TreeHugger,http://www.treehugger.com/,5645
Center Left,Lexington Herald-Leader ,http://www.kentucky.com/,96
Center Left,Des Moines Register,http://www.desmoinesregister.com/apps/pbcs.dll/frontpage,72
Center Left,Kansas City Star,http://www.kansascity.com/,30
Center Left,The News Tribune ,http://www.thenewstribune.com/,90
Center Left,kotv cbs,http://www.newson6.com/,1452
Center Left,WVIR NBC,http://www.nbc29.com,1607
Center Left,The Buffalo News ,http://www.buffalonews.com/,57
Center Left,NPR,http://www.npr.org/,1096
Center Left,kopb,http://www.opb.org/,1409
Center Left,Democrat and Chronicle ,http://www.democratandchronicle.com/apps/pbcs.dll/frontpage,69
Center Left,Baltimore Sun,http://www.baltimoresun.com/,34
Center Left,Detroit Free Press,http://www.freep.com/apps/pbcs.dll/frontpage,21
Center Left,The Commercial Appeal,http://www.commercialappeal.com/,71
Center Left,The Florida Times-Union ,http://www.jacksonville.com/,68
Center Left,app.leg.wa.gov,http://app.leg.wa.gov/,129773
Center Left,HuffPost,http://www.huffingtonpost.com/#,27502
Center Left,pediatrics.aappublications.org,http://pediatrics.aappublications.org/#spider,87632
Center Left,Wired,http://www.wired.com/rss/index.xml,4434
Center Left,votesmart.org,http://www.votesmart.org,23115
Center Left,wiley.com,http://www.wiley.com/#spider,68760
Center Left,Lifehacker,http://lifehacker.com,4508
Center Left,thefreedictionary.com,http://www.thefreedictionary.com,24925
Center Left,oxfordstudent.com,http://oxfordstudent.com/,122771
Center Left,plannedparenthood.org,http://www.plannedparenthood.org#spider,34778
Center Left,Kotaku,http://kotaku.com,4495
Center Left,Tampa Bay Times,http://www.tampabay.com/,22
Center Left,Orlando Sentinel,http://www.orlandosentinel.com/,38
Center Left,memeorandum,http://www.memeorandum.com,311
Center Left,Atlantic,http://www.theatlantic.com/,1110
Center Left,Daily Beast,http://www.thedailybeast.com/,1707
Center Left,WSAW CBS,http://www.wsaw.com,1624
Center Left,Oregonian,http://www.oregonlive.com/oregonian/,23
Center Left,The Toledo Blade,http://www.toledoblade.com,83
Center Left,Christian Science Monitor,http://csmonitor.com,3
Center Left,Courier Watch,http://www.courier-journal.com/apps/pbcs.dll/frontpage,42
Center Left,Portland Mercury,http://www.portlandmercury.com/portland/home,1398
Center Left,WUOM,http://www.michiganradio.org,1487
Center Left,New York Magazine,http://nymag.com/,1109
Center Left,St. Louis Riverfront Times,http://www.riverfronttimes.com/,1259
Center Left,aarp.org,http://www.aarp.org/#spider,67670
Center Left,San Francisco Bay View,http://sfbayview.com,26208
Center Left,E! Online,http://www.eonline.com/,5856
Center Left,heise online News,http://www.heise.de/newsticker/,5847
Center Left,CJR,http://www.cjr.org/campaign_desk/,752
Center Left,mental_floss Blog,http://www.mentalfloss.com/blogs,5934
Center Left,Taegan Goddard's Political Wire,http://politicalwire.com,140
Center Left,Health News from Medical News Today,http://www.medicalnewstoday.com,5801
Center Left,Lenta.ru,http://lenta.ru/,1729
Center Left,How Appealing,http://howappealing.law.com,6811
Center Left,Vedomosti,http://www.vedomosti.ru/,1725
Center Left,Buzzfeed,http://www.buzzfeed.com,6218
Center Left,"Московский Комсомолец: происшествия, общество, культура, мнения, интервью",http://mk.ru,1775
Center Left,NTV,http://www.ntv.ru/,1733
Center Left,"Android Central | Android Forums, News, and Help",http://www.androidcentral.com,17974
Center Left,PCWorld Latest Technology News,http://www.pcworld.com,5842
Center Left,Stepcase Lifehack,http://www.lifehack.org,5887
Center Left,Laughing Squid,http://laughingsquid.com,6117
Center Left,MAKE Magazine,http://blog.makezine.com/,5534
Center Left,The Onion ,http://www.theonion.com/content/index,955
Center Left,Mashable!,http://mashable.com,5527
Center Left,Marginal Revolution,http://www.marginalrevolution.com/,1128
Center Left,the How-To Geek,http://www.howtogeek.com,6013
