Leaning,Media name,Media url,Media Id
center-right,media_name,media_url,media_id
center-right,Daily Mail,http://www.dailymail.co.uk/home/index.html,1747
center-right,ksdk.com,http://ksdk.com/,107982
center-right,nbcnewyork.com,http://www.nbcnewyork.com,25056
center-right,Amazon,http://Amazon.com,21936
center-right,thefreelibrary.com,http://thefreelibrary.com/,56658
center-right,census.gov,http://www.census.gov,22341
center-right,answers.com,http://www.answers.com,18761
center-right,dn-se,http://www.dn.se/,39409
center-right,lastampa,http://www.lastampa.it/redazione/default.asp,40446
center-right,katu abc,http://www.katu.com/,1404
center-right,Orange County Register,http://www.ocregister.com/,25
center-right,WPLG ABC,http://www.local10.com/index.html,1352
center-right,Boston Herald,http://www.bostonherald.com/,51
center-right,WPBF ABC,http://www.wpbf.com/index.html,1361
center-right,WSVN FOX,http://www4.wsvn.com/,1351
center-right,Consortiumnews.com,http://www.consortiumnews.com,197
center-right,Peoria Journal Star,http://www.pjstar.com,1515
center-right,Wausau Daily Herald,http://www.wausaudailyherald.com,1623
center-right,WPTV NBC,http://www.wptv.com/default.aspx,1359
center-right,Asbury Park Press ,http://www.app.com/apps/pbcs.dll/frontpage,75
center-right,Daily Telegraph,http://www.telegraph.co.uk/,1750
center-right,New York Post,http://www.nypost.com/,7
center-right,Wall Street Journal,https://www.wsj.com/,1150
center-right,How to of the Day,http://www.wikihow.com/Main-Page,5991
center-right,South Florida Sun-Sentinel,http://www.sun-sentinel.com/,39
center-right,Morning Call,http://www.mcall.com/,97
center-right,"O'Reilly Radar - Insight, analysis, and research about emerging technologies.",http://radar.oreilly.com/,5546
center-right,National Hurricane Center (Atlantic),http://www.nhc.noaa.gov/,6019
center-right,SCOTUSblog,http://www.scotusblog.com/wp,6700
center-right,Outside The Beltway | OTB,http://www.outsidethebeltway.com,125
center-right,Apartment Therapy New York,http://www.apartmenttherapy.com,6011
center-right,Evernote Blogcast,http://blog.evernote.com,17983
center-right,FlowingData,http://flowingdata.com,5761
center-right,ladepeche,http://www.ladepeche.fr/,41553
center-right,br-online,http://www.br.de/index.html,41321
center-right,Digg Stories,http://digg.com,18786
center-right,archive.org,http://www.archive.org,19233
center-right,amazon.co.jp,http://amazon.co.jp/,58080
center-right,nation,http://nation.com.pk/,39970
center-right,producer.com,http://www.producer.com#spider,31758
center-right,Business Wire,http://www.businesswire.com/portal/site/home/,300214
center-right,canoe.com,http://canoe.com/,260674
center-right,breakingdefense.com,http://breakingdefense.com/#spider,69289
center-right,www.researchgate.net,http://www.researchgate.net/,193380
center-right,dnaindia.com,http://dnaindia.com/,65929
center-right,adweek.com,http://www.adweek.com,18687
center-right,tasteofcountry.com,http://tasteofcountry.com#spider,33184
center-right,Radar Online,http://radaronline.com/exclusives/,133
center-right,NavyTimes,http://www.navytimes.com/#spider,70638
center-right,energy.gov,http://energy.gov/#spider,82679
center-right,Welt,http://www.welt.de/,41264
center-right,thesouthern.com,http://thesouthern.com/#spider,69176
center-right,dol.gov,http://www.dol.gov,24705
center-right,TMZ,http://tmz.com/,56051
center-right,af.mil,http://www.af.mil/#spider,68806
center-right,therivardreport.com,http://therivardreport.com/,201290
center-right,abc,http://www.abc.es/,39848
center-right,newyork.cbslocal.com,http://newyork.cbslocal.com,18957
center-right,pcgamer.com,http://www.pcgamer.com,19687
center-right,dreadcentral.com,http://www.dreadcentral.com/#spider,91846
center-right,financialpost.com,http://www.financialpost.com,22886
center-right,newint.org,http://newint.org/,58545
center-right,dhs.gov,http://www.dhs.gov,18830
center-right,cato.org,http://cato.org/,367668
center-right,National Post,http://www.nationalpost.com/index.html,300411
center-right,antiwar.com,http://antiwar.com/#spider,67560
center-right,globalresearch.ca,http://www.globalresearch.ca,19195
center-right,giss.nasa.gov,http://www.giss.nasa.gov#spider,34792
center-right,thespectator,http://www.spectator.co.uk/,41334
center-right,dawn,http://www.dawn.com,39609
center-right,Criminal Justice | Change.org,http://criminaljustice.change.org/,6858
center-right,wilx.com,http://www.wilx.com/#spider,96143
center-right,abc7chicago.com,http://abc7chicago.com/,108369
center-right,quod.lib.umich.edu,http://quod.lib.umich.edu/#spider,69809
center-right,Patch,http://www.patch.com/#spider,53078
center-right,abc13.com,http://abc13.com/,106174
center-right,alarabiya.net,http://alarabiya.net/,58845
center-right,wpde.com,http://wpde.com/,279194
center-right,Focus,http://www.focus.de/,39463
center-right,media_name,media_url,media_id
center-right,Daily Mail,http://www.dailymail.co.uk/home/index.html,1747
center-right,ladepeche,http://www.ladepeche.fr/,41553
center-right,globesco,http://www.globes.co.il/,41577
center-right,ad,http://www.ad.nl,40498
center-right,lavoixdunord,http://www.lavoixdunord.fr/,39802
center-right,expressen,http://www.expressen.se/,40574
center-right,tvn24,http://www.tvn24.pl/,39319
center-right,veja.abril.com.br,http://veja.abril.com.br/,59723
center-right,modernghana.com,http://modernghana.com/,63814
center-right,lavanguardia,http://www.lavanguardia.es/index.html,42090
center-right,radiofarda.com,http://radiofarda.com/,66075
center-right,nu,http://www.nu.nl,40230
center-right,arabnews.com,http://arabnews.com/,62169
center-right,latercera.com,http://latercera.com/,59844
center-right,ilmessaggero,http://www.ilmessaggero.it/,38859
center-right,iltempo,http://www.iltempo.it/,40996
center-right,ynetnews,"http://www.ynetnews.com/home/0,7340,L-3083,00.html",40915
center-right,elpais.cr,http://elpais.cr/,61198
center-right,TMZ,http://tmz.com/,56051
center-right,lastampa,http://www.lastampa.it/redazione/default.asp,40446
center-right,Boston Herald,http://www.bostonherald.com/,51
center-right,Asbury Park Press ,http://www.app.com/apps/pbcs.dll/frontpage,75
center-right,feeds.feedburner.com,http://feeds.feedburner.com,19906
center-right,br-online,http://www.br.de/index.html,41321
center-right,Outside The Beltway | OTB,http://www.outsidethebeltway.com,125
center-right,newser.com,http://www.newser.com,21629
center-right,triblive.com,http://triblive.com,26214
center-right,www.foxsports.com,http://www.foxsports.com/,55476
center-right,Amazon,http://Amazon.com,21936
center-right,clarin,http://www.clarin.com/shared/v7/rss/index.html,40028
center-right,South Florida Sun-Sentinel,http://www.sun-sentinel.com/,39
center-right,thisdayonline,http://www.thisdaylive.com/,41605
center-right,Focus,http://www.focus.de/,39463
center-right,Daily Telegraph,http://www.telegraph.co.uk/,1750
center-right,ansa.it,http://ansa.it/,56072
center-right,ilmattino,http://www.ilmattino.it/home_page.php?refresh_ce,40684
center-right,flightglobal.com,http://flightglobal.com/,58012
center-right,nation,http://nation.com.pk/,39970
center-right,Morning Call,http://www.mcall.com/,97
center-right,aftonbladet,http://www.aftonbladet.se/,40564
center-right,Marin Independent Journal,http://www.marinij.com/,27945
center-right,veteranstoday.com,http://veteranstoday.com/,57137
center-right,South China Morning Post,http://www.scmp.com/,39590
center-right,"Santa Barbara News, Local Information & Current Events - Noozhawk.com",http://www.noozhawk.com/,27542
center-right,dn-se,http://www.dn.se/,39409
center-right,New York Post,http://www.nypost.com/,7
center-right,secoloditalia,http://www.secoloditalia.it/,39617
center-right,adnkronos.com,http://adnkronos.com/,55996
center-right,estadao,http://www.estadao.com.br/,38945
center-right,Wall Street Journal,https://www.wsj.com/,1150
center-right,outlookindia.com,http://www.outlookindia.com/#spider,69105
center-right,business-standard.com,http://www.business-standard.com,19341
center-right,cadenaser,http://www.cadenaser.com/,41735
center-right,NZZ,http://www.nzz.ch/,39892
center-right,ecuadorinmediato.com,http://ecuadorinmediato.com/,63928
center-right,Orange County Register,http://www.ocregister.com/,25
center-right,Welt,http://www.welt.de/,41264
center-right,abc.com.py,http://abc.com.py/,61232
center-right,parool,http://www.parool.nl,39471
center-right,WSVN FOX,http://www4.wsvn.com/,1351
center-right,dnaindia.com,http://dnaindia.com/,65929
center-right,abc,http://www.abc.es/,39848
center-right,lanacion-AR,http://www.lanacion.com.ar/,40717
center-right,livemint.com,http://livemint.com/,56177
center-right,wradio.com.co,http://wradio.com.co/,57790
center-right,Peoria Journal Star,http://www.pjstar.com,1515
center-right,eldeber,http://www.eldeber.com.bo,40586
center-right,BerlinMorgenpost,http://www.morgenpost.de/,40664
center-right,katu abc,http://www.katu.com/,1404
center-right,The Santa Barbara Independent - News | Living | Arts | Entertainment,http://independent.com/,27350
center-right,dagbladet,http://www.dagbladet.no/,39516
center-right,thehimalayantimes,http://www.thehimalayantimes.com/,41970
center-right,elcomercio.pe,http://elcomercio.pe/,59184
center-right,republika.co.id,http://republika.co.id/,65569
center-right,dawn,http://www.dawn.com,39609
center-right,listindiario.com,http://listindiario.com/,61618
center-right,ElPaisUY,http://www.elpais.com.uy/,40736
center-right,France 24,http://www.france24.com/fr/,40570
center-right,vanguardngr.com,http://vanguardngr.com/,62171
center-right,DagensIndustri,http://di.se/,42141
center-right,chinadaily,http://www.chinadaily.com.cn,41626
center-right,ilgiornale,http://www.ilgiornale.it/,40189
center-right,aawsat,http://www.aawsat.com/,39332
center-right,antena3noticias,http://www.antena3.com/noticias/,41255
center-right,Publico-ES,http://www.publico.es/,41843
center-right,montevideo.com.uy,http://montevideo.com.uy/,55512
center-right,WPBF ABC,http://www.wpbf.com/index.html,1361
center-right,"Recordnet.com Home Page | San Joaquin County News, Jobs, Cars, Real Estate and more",http://www.recordnet.com/,28038
center-right,businessdailyafrica,http://www.businessdailyafrica.com/,41687
center-right,WPLG ABC,http://www.local10.com/index.html,1352
center-right,The Hamptons | In the Hamptons,http://www.27east.com/,28211
center-right,antiwar.com,http://antiwar.com/#spider,67560
center-right,quotidiano,http://qn.quotidiano.net/,38731
center-right,letemps.ch,http://letemps.ch/,58579
center-right,blog.beliefnet.com,http://blog.beliefnet.com/,56796
center-right,gulf-times,http://gulf-times.com/,40968
center-right,europapress.es,http://europapress.es/,61907
center-right,Finger Lakes Times: Finger Lakes Times,http://www.fltimes.com/,28216
center-right,lostiempos.com,http://lostiempos.com/,57425
center-right,Expansion,http://www.expansion.com/,41857
center-right,khaleejtimes,http://www.khaleejtimes.com/index00.asp,38880
center-right,elheraldo,http://www.elheraldo.hn/,41495
center-right,Apartment Therapy New York,http://www.apartmenttherapy.com,6011
center-right,breakingnews-ie,http://www.breakingnews.ie,39488
center-right,Consortiumnews.com,http://www.consortiumnews.com,197
center-right,techradar.com,http://www.techradar.com,22116
center-right,en.mercopress.com,http://en.mercopress.com/,57902
center-right,tehrantimes,http://tehrantimes.com/,39019
center-right,WPTV NBC,http://www.wptv.com/default.aspx,1359
center-right,thespectator,http://www.spectator.co.uk/,41334
center-right,indiatvnews.com,http://indiatvnews.com/,65449
center-right,chicagonow.com,http://chicagonow.com/,63638
center-right,haitilibre,http://www.haitilibre.com/,40025
center-right,thefreelibrary.com,http://thefreelibrary.com/,56658
center-right,omroep,http://nos.nl,41079
center-right,How to of the Day,http://www.wikihow.com/Main-Page,5991
center-right,CalWatchDog,http://www.calwatchdog.com/,27454
center-right,MDR,http://www.mdr.de/nachrichten/,40854
center-right,dagen-sk,http://www.dagen.se,42162
center-right,tribuneindia.com,http://tribuneindia.com/,57626
center-right,weeklyblitz,http://www.weeklyblitz.net/,41608
center-right,State.gov,http://www.state.gov/,41108
center-right,FlowingData,http://flowingdata.com,5761
center-right,thetruthseeker.co.uk,http://www.thetruthseeker.co.uk#spider,31382
center-right,newyork.cbslocal.com,http://newyork.cbslocal.com,18957
center-right,ebay.co.uk,http://www.ebay.co.uk/#spider,94510
center-right,express.co.uk,http://www.express.co.uk,26799
