Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5228500140942429
75% Corpus,2,0.01,0.31,0.37522652603531187
75% Corpus,2,0.01,0.61,0.37126833785154423
75% Corpus,2,0.01,0.9099999999999999,0.3726654533378895
75% Corpus,2,0.01,symmetric,0.376638829024193
75% Corpus,2,0.31,0.01,0.5052942957386618
75% Corpus,2,0.31,0.31,0.3912101129093438
75% Corpus,2,0.31,0.61,0.3812887373351731
75% Corpus,2,0.31,0.9099999999999999,0.37454096789605007
75% Corpus,2,0.31,symmetric,0.3699629833063034
75% Corpus,2,0.61,0.01,0.5049165399993837
75% Corpus,2,0.61,0.31,0.3766694819183254
75% Corpus,2,0.61,0.61,0.37180180082414493
75% Corpus,2,0.61,0.9099999999999999,0.3516476541076228
75% Corpus,2,0.61,symmetric,0.36225375713394636
75% Corpus,2,0.9099999999999999,0.01,0.505006307269932
75% Corpus,2,0.9099999999999999,0.31,0.35778986285311243
75% Corpus,2,0.9099999999999999,0.61,0.3601472241380569
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3794092989213653
75% Corpus,2,0.9099999999999999,symmetric,0.35165821101277506
75% Corpus,2,symmetric,0.01,0.5049407973781652
75% Corpus,2,symmetric,0.31,0.3766694819183254
75% Corpus,2,symmetric,0.61,0.37123775648243024
75% Corpus,2,symmetric,0.9099999999999999,0.376265695104979
75% Corpus,2,symmetric,symmetric,0.3702101983802679
75% Corpus,2,asymmetric,0.01,0.45750966700747137
75% Corpus,2,asymmetric,0.31,0.38524113699005497
75% Corpus,2,asymmetric,0.61,0.37006896417895685
75% Corpus,2,asymmetric,0.9099999999999999,0.3589038353863777
75% Corpus,2,asymmetric,symmetric,0.3725938698978599
75% Corpus,3,0.01,0.01,0.5129144378022004
75% Corpus,3,0.01,0.31,0.3828832384292948
75% Corpus,3,0.01,0.61,0.38561203713232634
75% Corpus,3,0.01,0.9099999999999999,0.3710496572394281
75% Corpus,3,0.01,symmetric,0.3760910654758862
75% Corpus,3,0.31,0.01,0.5300964169303357
75% Corpus,3,0.31,0.31,0.3998596300072159
75% Corpus,3,0.31,0.61,0.3811631813369145
75% Corpus,3,0.31,0.9099999999999999,0.3900661990972858
75% Corpus,3,0.31,symmetric,0.39249833327427036
75% Corpus,3,0.61,0.01,0.4830730752078116
75% Corpus,3,0.61,0.31,0.38189914639934547
75% Corpus,3,0.61,0.61,0.36153938324763235
75% Corpus,3,0.61,0.9099999999999999,0.3681995360946469
75% Corpus,3,0.61,symmetric,0.36320855428154153
75% Corpus,3,0.9099999999999999,0.01,0.5101970735095497
75% Corpus,3,0.9099999999999999,0.31,0.3715379398126238
75% Corpus,3,0.9099999999999999,0.61,0.3858530835461109
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3523382301061526
75% Corpus,3,0.9099999999999999,symmetric,0.3888736268965678
75% Corpus,3,symmetric,0.01,0.5215997765874755
75% Corpus,3,symmetric,0.31,0.38938704728722806
75% Corpus,3,symmetric,0.61,0.3831072940891067
75% Corpus,3,symmetric,0.9099999999999999,0.3668640359419674
75% Corpus,3,symmetric,symmetric,0.38862973526433303
75% Corpus,3,asymmetric,0.01,0.5409057029155536
75% Corpus,3,asymmetric,0.31,0.3847521525205546
75% Corpus,3,asymmetric,0.61,0.38916313469043934
75% Corpus,3,asymmetric,0.9099999999999999,0.40621109908020037
75% Corpus,3,asymmetric,symmetric,0.3802886644011183
75% Corpus,4,0.01,0.01,0.528173709287041
75% Corpus,4,0.01,0.31,0.41672629959542395
75% Corpus,4,0.01,0.61,0.43080353120653453
75% Corpus,4,0.01,0.9099999999999999,0.3912924201179083
75% Corpus,4,0.01,symmetric,0.42580129032333325
75% Corpus,4,0.31,0.01,0.548472525744407
75% Corpus,4,0.31,0.31,0.4034323290077899
75% Corpus,4,0.31,0.61,0.4022207311182832
75% Corpus,4,0.31,0.9099999999999999,0.4089218918480756
75% Corpus,4,0.31,symmetric,0.41033774641365095
75% Corpus,4,0.61,0.01,0.5335476322643319
75% Corpus,4,0.61,0.31,0.41039097533690344
75% Corpus,4,0.61,0.61,0.3860791631840155
75% Corpus,4,0.61,0.9099999999999999,0.3939901553234832
75% Corpus,4,0.61,symmetric,0.39289169892925135
75% Corpus,4,0.9099999999999999,0.01,0.5161792061782506
75% Corpus,4,0.9099999999999999,0.31,0.38308130986186884
75% Corpus,4,0.9099999999999999,0.61,0.3869830474496073
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.39058322066578705
75% Corpus,4,0.9099999999999999,symmetric,0.398073926105475
75% Corpus,4,symmetric,0.01,0.5434932423713053
75% Corpus,4,symmetric,0.31,0.41278521164001414
75% Corpus,4,symmetric,0.61,0.4056886435219089
75% Corpus,4,symmetric,0.9099999999999999,0.40223246961746084
75% Corpus,4,symmetric,symmetric,0.4077661550046755
75% Corpus,4,asymmetric,0.01,0.5729465820569534
75% Corpus,4,asymmetric,0.31,0.39763273015086875
75% Corpus,4,asymmetric,0.61,0.42537315601025016
75% Corpus,4,asymmetric,0.9099999999999999,0.48701655207715777
75% Corpus,4,asymmetric,symmetric,0.4103101422681473
75% Corpus,5,0.01,0.01,0.5291196005757556
75% Corpus,5,0.01,0.31,0.40560475693772713
75% Corpus,5,0.01,0.61,0.3813707396236066
75% Corpus,5,0.01,0.9099999999999999,0.3994715443248696
75% Corpus,5,0.01,symmetric,0.40996105418404805
75% Corpus,5,0.31,0.01,0.5384551411028402
75% Corpus,5,0.31,0.31,0.41698253402648716
75% Corpus,5,0.31,0.61,0.39924609868820116
75% Corpus,5,0.31,0.9099999999999999,0.3956625745846033
75% Corpus,5,0.31,symmetric,0.42306310196977337
75% Corpus,5,0.61,0.01,0.5026878440476411
75% Corpus,5,0.61,0.31,0.382731801738843
75% Corpus,5,0.61,0.61,0.3859817670210087
75% Corpus,5,0.61,0.9099999999999999,0.4063086043525039
75% Corpus,5,0.61,symmetric,0.39761338292924153
75% Corpus,5,0.9099999999999999,0.01,0.5184569402591042
75% Corpus,5,0.9099999999999999,0.31,0.3824197660016997
75% Corpus,5,0.9099999999999999,0.61,0.3896280372678869
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.36143842772553314
75% Corpus,5,0.9099999999999999,symmetric,0.3850162481335853
75% Corpus,5,symmetric,0.01,0.5554383600278489
